API WELL  NUMBER,Production Year,"QUARTER 1,2,3,4",OWNER NAME,COUNTY,TOWNSHIP,WELL NAME,WELL NUMBER,OIL,GAS,BRINE,DAYS
34013209230000,2020,1,ANTERO RESOURCES  CORPORATION,BELMONT,KIRKWOOD,HORSESHOE UNIT     1H,1H,0,0,0,91
34059243520000,2020,1,ANTERO RESOURCES  CORPORATION,GUERNSEY,MILLWOOD,J HALL UNIT     10H,10H,1,"32,293",55,91
34059242550000,2020,1,ANTERO RESOURCES  CORPORATION,GUERNSEY,MILLWOOD,J ANDERSON     2H,2H,92,"27,276",242,91
34059242540000,2020,1,ANTERO RESOURCES  CORPORATION,GUERNSEY,MILLWOOD,J ANDERSON     3H,3H,103,"28,393",254,91
34059242560000,2020,1,ANTERO RESOURCES  CORPORATION,GUERNSEY,MILLWOOD,J ANDERSON     4H,4H,107,"31,521",255,91
34059242520100,2020,1,ANTERO RESOURCES  CORPORATION,GUERNSEY,MILLWOOD,J ANDERSON     1H,1H,130,"31,334",324,91
34059242530000,2020,1,ANTERO RESOURCES  CORPORATION,GUERNSEY,MILLWOOD,J ANDERSON     5H,5H,158,"46,773",209,91
34059243560000,2020,1,ANTERO RESOURCES  CORPORATION,GUERNSEY,MILLWOOD,J HALL UNIT     2H,2H,292,"62,980",708,91
34059243550000,2020,1,ANTERO RESOURCES  CORPORATION,GUERNSEY,MILLWOOD,J HALL UNIT     4H,4H,2,"21,913",54,91
34059243510000,2020,1,ANTERO RESOURCES  CORPORATION,GUERNSEY,MILLWOOD,J HALL UNIT     12H,12H,204,"34,477",693,91
34059243540000,2020,1,ANTERO RESOURCES  CORPORATION,GUERNSEY,MILLWOOD,J HALL UNIT     6H,6H,2,"49,368","1,215",91
34059243530000,2020,1,ANTERO RESOURCES  CORPORATION,GUERNSEY,MILLWOOD,J HALL UNIT     8H,8H,361,"39,997",841,91
34111245260000,2020,1,ANTERO RESOURCES  CORPORATION,MONROE,FRANKLIN,DIMMERLING UNIT     3H,3H,65,"82,328",493,91
34111245180000,2020,1,ANTERO RESOURCES  CORPORATION,MONROE,SENECA,MONROE FARMS UNIT     4H,4H,77,"98,056","1,121",91
34111245900000,2020,1,ANTERO RESOURCES  CORPORATION,MONROE,FRANKLIN,ROXIE UNIT     2H,2H,74,"93,671",534,91
34111246110000,2020,1,ANTERO RESOURCES  CORPORATION,MONROE,SENECA,CLARA UNIT     1H,1H,88,"112,070","1,036",91
34111244120000,2020,1,ANTERO RESOURCES  CORPORATION,MONROE,SENECA,NORMAN UNIT     2H,2H,37,"42,948",850,90
